start_time,close,datetime,high,low,open,volume
1613916000000,1962.42,2021-02-21 14:00:00,1966.44,1936.01,1947.92,36511.97971
1613919600000,1959.9,2021-02-21 15:00:00,1969.8,1950.01,1962.41,25098.09733
1613923200000,1958.3,2021-02-21 16:00:00,1965.77,1941.04,1959.82,31621.59742
1613926800000,1949.99,2021-02-21 17:00:00,1958.8,1948.61,1958.3,19591.45348
1613930400000,1964.02,2021-02-21 18:00:00,1968.0,1938.0,1949.96,25436.28012
1613934000000,1966.13,2021-02-21 19:00:00,1976.31,1960.56,1964.03,30116.81654
1613937600000,1929.68,2021-02-21 20:00:00,1966.05,1914.0,1966.05,35990.57547
1613941200000,1918.54,2021-02-21 21:00:00,1937.11,1914.82,1929.65,35423.83466
1613944800000,1928.16,2021-02-21 22:00:00,1930.0,1901.2,1918.53,22603.7072
1613948400000,1933.53,2021-02-21 23:00:00,1939.05,1922.4,1928.16,21453.09495
1613952000000,1887.08,2021-02-22 00:00:00,1936.29,1886.72,1933.54,48520.92526
1613955600000,1913.15,2021-02-22 01:00:00,1918.55,1870.26,1887.07,43496.60487
1613959200000,1904.63,2021-02-22 02:00:00,1920.86,1891.04,1913.15,34434.96369
1613962800000,1870.36,2021-02-22 03:00:00,1911.01,1860.15,1904.62,50762.17126
1613966400000,1864.31,2021-02-22 04:00:00,1881.51,1835.0,1870.35,85326.10246
1613970000000,1868.57,2021-02-22 05:00:00,1883.98,1860.0,1864.22,31275.6199
1613973600000,1872.68,2021-02-22 06:00:00,1888.98,1861.0,1868.29,29923.47896
1613977200000,1886.63,2021-02-22 07:00:00,1891.04,1865.32,1872.6,35373.29849
1613980800000,1855.21,2021-02-22 08:00:00,1889.74,1854.0,1886.61,36040.76982
1613984400000,1820.85,2021-02-22 09:00:00,1864.8,1811.0,1855.21,64764.42372
1613988000000,1816.0,2021-02-22 10:00:00,1836.99,1775.11,1820.39,114353.70142
1613991600000,1802.65,2021-02-22 11:00:00,1831.99,1801.58,1816.0,54997.74401
1613995200000,1781.41,2021-02-22 12:00:00,1808.19,1748.57,1802.5,120086.63134
1613998800000,1727.94,2021-02-22 13:00:00,1793.83,1725.85,1781.77,84834.44176
1614002400000,1756.52,2021-02-22 14:00:00,1763.74,1551.0,1727.94,374051.12285
1614006000000,1733.29,2021-02-22 15:00:00,1776.35,1700.0,1755.91,124571.16232
1614009600000,1729.99,2021-02-22 16:00:00,1765.0,1710.0,1733.33,74993.86074
1614013200000,1682.0,2021-02-22 17:00:00,1734.4,1672.25,1729.84,80957.80519
1614016800000,1717.74,2021-02-22 18:00:00,1720.9,1659.0,1682.0,98682.70538
1614020400000,1746.42,2021-02-22 19:00:00,1750.83,1709.0,1717.75,51675.24162
1614024000000,1766.14,2021-02-22 20:00:00,1784.5,1741.0,1746.41,53595.16437
1614027600000,1799.42,2021-02-22 21:00:00,1803.59,1764.55,1766.14,49100.27268
1614031200000,1775.63,2021-02-22 22:00:00,1802.0,1761.18,1799.44,29712.42005
1614034800000,1777.58,2021-02-22 23:00:00,1788.99,1745.18,1775.75,35714.34883
1614038400000,1760.04,2021-02-23 00:00:00,1782.39,1743.24,1777.42,48784.17238
1614042000000,1713.42,2021-02-23 01:00:00,1779.64,1699.0,1760.04,74755.189
1614045600000,1668.0,2021-02-23 02:00:00,1727.5,1657.56,1713.43,73972.93389
1614049200000,1679.91,2021-02-23 03:00:00,1714.53,1663.49,1668.41,69613.4806
1614052800000,1634.12,2021-02-23 04:00:00,1696.0,1592.0,1679.79,107431.92589
1614056400000,1619.99,2021-02-23 05:00:00,1637.03,1555.0,1634.37,158017.6475
